NGA,PolID,Time,PropCoded,Pop,Terr,Cap,Hier,Gov,Infra,Info,Money,Dupl,Uniq
Latium,ItLatCA,-3600,90.2,3.234727619,3.252749485,2.57927454,1,0.009090909,0.027272727,0.5,0.15,n,y
Latium,ItLatCA,-3500,90.2,3.21060857,2.911212155,2.428392458,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-3400,90.2,3.499354318,3.428488936,2.591377852,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-3300,90.2,3.477817788,2.969979614,2.477542848,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-3200,90.2,3.586813991,3.033723591,2.603659372,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-3100,90.2,3.337410901,3.498593834,2.436600327,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-3000,90.2,3.04365079,3.072037854,2.502751035,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2900,90.2,3.677826893,3.136852413,2.368772099,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2800,90.2,3.267590667,3.247245235,2.590304058,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2700,90.2,3.277977382,3.725047311,2.491485623,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2600,90.2,3.482398544,3.831787354,2.356456641,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2500,90.2,3.081656265,3.038989171,2.631788736,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2400,90.2,3.298546528,3.107470725,2.502268184,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2300,90.2,3.582629544,2.917481905,2.622473524,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2200,90.2,3.294628322,3.106305915,2.320577909,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2100,90.2,3.046076908,3.139712318,2.36089142,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-2000,90.2,2.926852263,3.124911875,2.705248991,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatCA,-1900,90.2,3.254243579,2.991752434,2.383687456,1,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1800,88.2,2.572080983,1.844673049,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,y
Latium,ItLatBA,-1700,88.2,2.440963341,1.75304227,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1600,88.2,2.382840362,2.070740083,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1500,88.2,2.382931096,2.175289527,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1400,88.2,2.133395799,2.031310907,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1300,88.2,2.355601287,1.61937038,1.543443909,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatBA,-1200,88.2,2.889635389,2.422551966,2.194170626,1.141968527,0.009090909,0.027272727,0.5,0.15,n,y
Latium,ItLatBA,-1100,88.2,2.930144066,2.050813319,2.194170626,1.141968527,0.009090909,0.027272727,0.5,0.15,n,n
Latium,ItLatIA,-1000,84.3,3.155260117,2.468873485,2.194170626,1.726554555,0.090909091,0.15,0.572222222,0.166666667,n,y
Latium,ItLatIA,-900,84.3,2.814658582,2.388556481,2.194170626,1.726554555,0.090909091,0.15,0.572222222,0.166666667,n,n
Latium,ItLatIA,-800,84.3,3.046183848,2.291530957,2.229439333,1.726554555,0.090909091,0.15,0.572222222,0.166666667,n,n
Latium,ItRomRg,-700,84.3,4.546608938,3,3.909359425,3.365449746,0.218181818,0.520833333,1.444444444,0.666666667,n,y
Latium,ItRomRg,-600,84.3,4.546608938,3,4.465556897,3.365449746,0.254545455,0.520833333,1.444444444,0.666666667,n,y
Latium,ItRomER,-500,98,5,3,4.477121255,3.666666667,0.318181818,0.658333333,1.555555556,0.833333333,n,y
Latium,ItRomER,-400,98,5.176091259,3,4.477121255,3.666666667,0.363636364,0.658333333,1.555555556,0.833333333,n,y
Latium,ItRomER,-300,98,5.840231007,4.432733718,4.748335195,4.666666667,0.363636364,0.658333333,1.555555556,0.833333333,n,y
Latium,ItRomMR,-200,98,6.575826984,5.86332286,5.322219295,4.886761167,0.363636364,0.833333333,1.777777778,0.833333333,n,y
Latium,ItRomLR,-100,98,7.462062307,6.544068044,5.602059991,5.862157721,0.372727273,0.833333333,2,0.833333333,n,y
Latium,ItRomPr,0,98,7.698970004,6.653212514,6.009604284,8.126920621,0.645454545,0.991666667,2,0.833333333,n,y
Latium,ItRomPr,100,98,7.742228176,6.763427994,6.028447679,8.126920621,0.645454545,0.991666667,2,0.833333333,n,y
Latium,ItRomPr,200,98,7.791414167,6.698970004,6,8.126920621,0.645454545,0.991666667,2,0.833333333,n,y
Latium,TrRomDm,300,98,7.732261859,6.632098457,5.903089987,7.465169475,0.827272727,0.991666667,1.888888889,0.833333333,y,y
Latium,ItRomWe,400,94.1,7.515585808,6.301029996,5.698970004,7.466757083,0.863636364,0.990909091,2,0.833333333,n,y
Latium,ItOstrg,500,96.1,6.740362689,5.802773725,5.18307734,5.692928987,0.736363636,0.975,1.888888889,0.833333333,n,y
Latium,ItRav**,600,96.1,6,4.698970004,4.477121255,5.33537238,0.663636364,0.833333333,1.666666667,0.833333333,n,y
Latium,ItRav**,700,96.1,6.096910013,4.698970004,5.051944799,5.33537238,0.663636364,0.833333333,1.666666667,0.833333333,n,y
Latium,ItStPet,800,92.2,5.919088953,4.698970004,4.91890876,5.333333333,0.636363636,0.818181818,1.555555556,0.833333333,n,y
Latium,ItStPet,900,92.2,5.938166219,4.698970004,4.602059991,5.333333333,0.636363636,0.818181818,1.555555556,0.833333333,n,y
Latium,ItPapEM,1000,100,5.899161118,4.146128036,4.544068044,5.666666667,0.909090909,0.725,2,0.666666667,n,y
Latium,ItPapEM,1100,100,5.821912474,3.77815125,4.544068044,5.666666667,0.909090909,0.725,2,0.666666667,n,y
Latium,ItPapHM,1200,98,5.940614208,4.643452676,4.544068044,4.823666686,0.818181818,0.725,2,0.833333333,n,y
Latium,ItPapHM,1300,98,5.940614208,4.643452676,4.544068044,4.823666686,0.818181818,0.725,2,0.833333333,n,n
Latium,ItPapRn,1400,100,5.77815125,4.643452676,4.472834006,4.808017233,0.909090909,0.733333333,2,0.833333333,n,y
